Dname,Gname,Years,Months
Ac Libero LLP,Brynne,6,1
A Malesuada Incorporated,Alea,5,11
A Odio Semper Corporation,Adrian,1,3
A LLC,Ainsley,1,10
A Purus LLP,Caleb,4,11
A Purus LLP,Brynne,7,12
Ac Libero LLP,Acton,7,2
A Malesuada Incorporated,Addison,7,1
A LLC,Brooke,7,10
A Odio Semper Corporation,Cadman,7,10
A Neque Nullam Inc.,Calvin,3,11
A Felis Associates,Abdul,4,11
A Felis Associates,Camden ,1,10
A LLC,Adrienne,5,2
A Arcu Sed Consulting,Britanney,10,11
A Odio Semper Corporation,Buckminster,0,5
A LLC,Abel,10,11
A LLC,Adara,1,4
A Odio Semper Corporation,Brynne,0,9
A Arcu Sed Consulting,Aileen,8,2
A Scelerisque Sed Ltd,Caleb,4,8
A Scelerisque Sed Ltd,Cadman,1,4
A LLC,Aidan,7,12
A Purus LLP,Aimee,4,6
A Odio Semper Corporation,Caleb,1,8
A Purus LLP,Brooke,2,4
A Purus LLP,Bruce,4,8
Ac Libero LLP,Aiko,3,6
A Scelerisque Sed Ltd,Cailin,10,3
A Odio Semper Corporation,Briar,8,4
A Neque Nullam Inc.,Alea,8,11
A Felis Associates,Brody,7,5
A Odio Semper Corporation,Addison,4,5
Ac Libero LLP,Aaron,3,12
A Odio Semper Corporation,Cadman,9,3
A Purus LLP,Adrian,1,4
A LLC,Aiko,9,9
Ac Libero LLP,Adele,7,8
A Purus LLP,Adrienne,2,3
A Malesuada Incorporated,Burton,4,9
A Neque Nullam Inc.,Akeem,3,4
A Purus LLP,Bruce,7,3
A Neque Nullam Inc.,Britanni,6,12
A Purus LLP,Cadman,9,7
A Felis Associates,Cain,2,10
A Purus LLP,Callum,0,5
A Malesuada Incorporated,Camden ,7,10
A Neque Nullam Inc.,Abdul,7,11
A LLC,Aiko,9,11
Ac Libero LLP,Ainsley,2,11
A Neque Nullam Inc.,Adrian,8,11
A Neque Nullam Inc.,Adrienne,0,6
A Company,Alea,8,7
A Arcu Sed Consulting,Cailin,9,12
A Odio Semper Corporation,Abbot,6,6
A LLC,Buckminster,2,5
A LLC,Acton,10,6
A Scelerisque Sed Ltd,Brody,10,11
A Odio Semper Corporation,Britanney,0,4
A Arcu Sed Consulting,Adele,9,4
A Felis Associates,Cally,6,1
A Purus LLP,Caesar,0,6
A Felis Associates,Cade,3,2
A Neque Nullam Inc.,Akeem,1,4
A Arcu Sed Consulting,Alden,8,1
A Neque Nullam Inc.,Addison,6,12
A Odio Semper Corporation,Aaron,3,5
A Scelerisque Sed Ltd,Aaron,7,3
A Felis Associates,Alea,8,4
A Arcu Sed Consulting,Camden ,10,6
A Arcu Sed Consulting,Callum,0,3
A Arcu Sed Consulting,Cade,10,11
A Scelerisque Sed Ltd,Brock,1,12
A Arcu Sed Consulting,Aidan,10,2
A Arcu Sed Consulting,Bruce,6,5
A Scelerisque Sed Ltd,Cally,2,8
A Malesuada Incorporated,Cally,6,11
A Neque Nullam Inc.,Aimee,8,1
Ac Libero LLP,Briar,1,12
A Scelerisque Sed Ltd,Aileen,6,7
A Scelerisque Sed Ltd,Britanney,7,2
A Neque Nullam Inc.,Cairo,7,11
A Neque Nullam Inc.,Burton,10,10
A Neque Nullam Inc.,Adele,7,2
A Scelerisque Sed Ltd,Abraham,7,11
A Felis Associates,Caldwell,5,5
A Company,Abel,2,2
A Felis Associates,Akeem,1,3
A Arcu Sed Consulting,Aileen,10,7
A Felis Associates,Bryar,7,1
A Odio Semper Corporation,Addison,3,5
Ac Libero LLP,Cade,1,6
A Malesuada Incorporated,Calvin,6,6
A Neque Nullam Inc.,Callum,9,5
A Purus LLP,Buckminster,2,10
A Arcu Sed Consulting,Briar,3,9
A Scelerisque Sed Ltd,Aileen,0,11
A Neque Nullam Inc.,Briar,5,5
A Felis Associates,Callum,8,8
A Felis Associates,Ahmed,5,4
Ac Libero LLP,Abraham,9,1
A Malesuada Incorporated,Brock,5,4
A Arcu Sed Consulting,Bryar,3,7
A Felis Associates,Aaron,2,10
Ac Libero LLP,Caleb,7,1
Ac Libero LLP,Abbot,4,7
A LLC,Adrian,9,7
A Odio Semper Corporation,Camden ,3,8
A Company,Burton,7,8
A Arcu Sed Consulting,Byron,3,11
A Company,Calvin,3,8
A Arcu Sed Consulting,Caleb,3,5
A Odio Semper Corporation,Adele,4,8
A LLC,Aaron,6,6
A Odio Semper Corporation,Caleb,3,6
A Arcu Sed Consulting,Burton,10,10
A Purus LLP,Brynne,6,6
A Arcu Sed Consulting,Cairo,9,5
A Purus LLP,Burton,8,7
A Malesuada Incorporated,Brody,5,10
A Malesuada Incorporated,Abraham,7,3
A Odio Semper Corporation,Abel,6,8
A Company,Burke,9,6
A Felis Associates,Aaron,10,8
A Malesuada Incorporated,Abdul,8,8
A Company,Addison,7,2
A Purus LLP,Calvin,7,3
A Neque Nullam Inc.,Abbot,7,12
A Felis Associates,Aaron,0,12
Ac Libero LLP,Briar,7,11
A Malesuada Incorporated,Ainsley,6,6
A Scelerisque Sed Ltd,Alea,6,11
A Arcu Sed Consulting,Adrian,1,2
Ac Libero LLP,Abbot,2,4
A Odio Semper Corporation,Akeem,1,8
A Felis Associates,Bruce,6,8
A Malesuada Incorporated,Adrian,7,3
Ac Libero LLP,Abbot,0,3
A Malesuada Incorporated,Akeem,10,9
A Scelerisque Sed Ltd,Bryar,1,1
A LLC,Caesar,6,1
Ac Libero LLP,Cade,5,1
A Odio Semper Corporation,Aidan,2,9
A Scelerisque Sed Ltd,Callum,2,9
A LLC,Buckminster,10,1
A Malesuada Incorporated,Bryar,2,1
A Scelerisque Sed Ltd,Caldwell,6,9
A Scelerisque Sed Ltd,Ainsley,3,1
A LLC,Brooke,7,8
A Neque Nullam Inc.,Adele,9,2
A Scelerisque Sed Ltd,Alea,3,5
A LLC,Abraham,2,5
A Neque Nullam Inc.,Adrienne,10,4
A Purus LLP,Brody,8,1
A Odio Semper Corporation,Cailin,5,6
A Scelerisque Sed Ltd,Aaron,0,8
Ac Libero LLP,Calvin,0,5
A Purus LLP,Aladdin,6,9
A LLC,Britanney,8,4
A LLC,Adrienne,9,10
A Odio Semper Corporation,Burton,7,8
A LLC,Adrian,8,2
A Neque Nullam Inc.,Cally,4,6
A Arcu Sed Consulting,Aimee,9,11
A LLC,Alan,8,4
A Scelerisque Sed Ltd,Aidan,7,6
A Arcu Sed Consulting,Caldwell,0,8
A Malesuada Incorporated,Cain,4,6
A Arcu Sed Consulting,Bruno,9,1
A Purus LLP,Cairo,2,5
A Arcu Sed Consulting,Abbot,1,10
A Scelerisque Sed Ltd,Adrian,2,1
A Felis Associates,Adrian,8,9
A Company,Abdul,7,7
A Purus LLP,Brody,10,7
A Neque Nullam Inc.,Byron,1,9
A Purus LLP,Brody,9,7
A Felis Associates,Callum,7,3
A Felis Associates,Briar,1,4
A Malesuada Incorporated,Alan,6,7
A Odio Semper Corporation,Aladdin,6,9
A Odio Semper Corporation,Britanni,10,6
A Felis Associates,Aaron,10,7
A Odio Semper Corporation,Cally,1,12
A Company,Aaron,8,7
Ac Libero LLP,Aiko,6,9
A Purus LLP,Burton,0,3
A Felis Associates,Cailin,4,4
A Purus LLP,Akeem,0,5
A Odio Semper Corporation,Alea,6,8
Ac Libero LLP,Brynne,1,8
A Arcu Sed Consulting,Adrienne,8,9
A Malesuada Incorporated,Adrienne,6,8
A Malesuada Incorporated,Aiko,3,1
A Company,Brynne,4,5
A Felis Associates,Buckminster,4,6
A Neque Nullam Inc.,Ainsley,10,12
A Company,Byron,9,5
A Neque Nullam Inc.,Aaron,7,7
A Arcu Sed Consulting,Bruno,8,11
A Purus LLP,Cain,9,9
A Felis Associates,Alea,9,8
A Arcu Sed Consulting,Abraham,4,9
A LLC,Britanni,3,11
A LLC,Brock,8,2
A Company,Alan,2,2
A Purus LLP,Abdul,6,2
A Company,Caldwell,10,5
A Neque Nullam Inc.,Britanni,6,4
A Purus LLP,Camden ,7,5
A Arcu Sed Consulting,Cadman,3,4
A Felis Associates,Cairo,2,3
A Arcu Sed Consulting,Calvin,10,5
A Felis Associates,Byron,6,2
A LLC,Britanney,3,4
A Malesuada Incorporated,Cailin,2,10
A LLC,Aimee,9,10
A Neque Nullam Inc.,Adrian,2,9
A Odio Semper Corporation,Buckminster,10,1
A Odio Semper Corporation,Cailin,4,8
A Odio Semper Corporation,Burton,5,3
A Odio Semper Corporation,Alea,1,3
A Scelerisque Sed Ltd,Brock,1,9
A Felis Associates,Camden ,10,7
A Arcu Sed Consulting,Brooke,8,11
A Neque Nullam Inc.,Aidan,6,9
A Arcu Sed Consulting,Aileen,5,5
A Odio Semper Corporation,Cadman,10,5
A Purus LLP,Aimee,0,9
Ac Libero LLP,Ahmed,8,5
A Arcu Sed Consulting,Brooke,7,7
A Odio Semper Corporation,Britanni,7,11
A Odio Semper Corporation,Ahmed,1,12
A Malesuada Incorporated,Alan,10,9
A Company,Adele,6,2
A Odio Semper Corporation,Calvin,1,1
A Felis Associates,Caleb,9,6
A LLC,Caesar,4,9
A LLC,Byron,3,12
A Odio Semper Corporation,Adrienne,2,12
A Company,Caesar,9,6
Ac Libero LLP,Alea,8,1
A Purus LLP,Brynne,3,2
A LLC,Aileen,8,8
A Purus LLP,Cairo,9,4
A Company,Adrienne,6,8
A Company,Caleb,10,7
A Company,Caldwell,4,6
A Malesuada Incorporated,Caesar,6,11
A Scelerisque Sed Ltd,Britanney,5,12
A Odio Semper Corporation,Abdul,10,12
Ac Libero LLP,Caleb,6,2
A Neque Nullam Inc.,Alea,10,4
Ac Libero LLP,Callie,4,10
A Company,Brielle,4,7
Ac Libero LLP,Aileen,8,6
A LLC,Abel,7,12
A Scelerisque Sed Ltd,Adrienne,9,9
A Arcu Sed Consulting,Britanni,2,8
A Odio Semper Corporation,Calvin,1,7
A Felis Associates,Brooke,0,8
A Felis Associates,Adara,4,3
Ac Libero LLP,Buckminster,1,2
A Malesuada Incorporated,Britanney,6,5
A Malesuada Incorporated,Addison,8,5
A Malesuada Incorporated,Bryar,9,2
A Malesuada Incorporated,Abbot,9,11
A Felis Associates,Burke,9,2
A Arcu Sed Consulting,Britanney,5,8
A Odio Semper Corporation,Caesar,9,8
A Company,Britanni,6,10
Ac Libero LLP,Abraham,8,9
A Odio Semper Corporation,Adrienne,6,1
A Neque Nullam Inc.,Aiko,7,12
A Malesuada Incorporated,Ainsley,7,6
A Felis Associates,Callum,10,5
A Purus LLP,Brock,3,3
A Malesuada Incorporated,Burke,10,12
A Company,Calvin,4,10
A LLC,Aidan,0,5
A LLC,Cain,5,5
A Malesuada Incorporated,Callie,1,2
A LLC,Cade,1,3
Ac Libero LLP,Callie,2,7
Ac Libero LLP,Addison,8,2
A Scelerisque Sed Ltd,Caesar,3,11
A Arcu Sed Consulting,Caesar,6,9
A Arcu Sed Consulting,Brynne,7,9
A Scelerisque Sed Ltd,Cade,7,11
A Arcu Sed Consulting,Akeem,2,2
A Scelerisque Sed Ltd,Adara,6,3
A Odio Semper Corporation,Cain,4,11
A Odio Semper Corporation,Alden,7,5
A Company,Callie,1,9
A Purus LLP,Brooke,4,6
A Neque Nullam Inc.,Camden ,6,8
A Scelerisque Sed Ltd,Cade,4,11
A Felis Associates,Ainsley,0,11
A Neque Nullam Inc.,Cairo,3,9
A Company,Bruce,0,4
A Scelerisque Sed Ltd,Abel,10,10
A Arcu Sed Consulting,Callie,0,2
A LLC,Bruno,8,3
A Malesuada Incorporated,Cailin,7,2
A Arcu Sed Consulting,Briar,9,12
A Company,Calvin,2,7
A Felis Associates,Burke,10,1
A Felis Associates,Cally,0,12
A LLC,Alea,3,3
A LLC,Brody,1,10
A Company,Burton,4,4
A Felis Associates,Britanney,3,4
A Neque Nullam Inc.,Brynne,8,8
A Arcu Sed Consulting,Brielle,10,6
A Malesuada Incorporated,Cally,3,1
A Felis Associates,Callum,6,1
Ac Libero LLP,Britanney,1,3
A Scelerisque Sed Ltd,Bruce,9,5
A Felis Associates,Acton,6,4
A Arcu Sed Consulting,Brynn,3,1
A Purus LLP,Caleb,7,12
A Company,Alden,4,11
A Purus LLP,Alan,10,10
A Arcu Sed Consulting,Adrienne,8,10
A Neque Nullam Inc.,Abdul,3,8
A Company,Alea,1,5
Ac Libero LLP,Cadman,7,6
A Purus LLP,Aileen,2,11
A Neque Nullam Inc.,Brock,5,1
A Odio Semper Corporation,Alea,8,3
Ac Libero LLP,Cailin,3,3
A Company,Akeem,0,4
A LLC,Alan,5,11
A Malesuada Incorporated,Brynne,8,9
A Arcu Sed Consulting,Caleb,0,12
A Scelerisque Sed Ltd,Cade,5,11
A Malesuada Incorporated,Addison,1,8
A LLC,Ahmed,6,11
A Malesuada Incorporated,Bryar,4,4
A Felis Associates,Callie,6,10
A Arcu Sed Consulting,Briar,1,5
A Felis Associates,Callie,8,12
A Neque Nullam Inc.,Ahmed,8,3
A Company,Bruno,2,9
A Scelerisque Sed Ltd,Addison,2,11
A Malesuada Incorporated,Caesar,1,2
A Malesuada Incorporated,Abel,3,8
A LLC,Britanni,4,2
A Neque Nullam Inc.,Adrienne,8,3
A Malesuada Incorporated,Aladdin,1,10
A LLC,Britanni,8,6
A Malesuada Incorporated,Caesar,4,1
A Neque Nullam Inc.,Aaron,5,9
A Odio Semper Corporation,Brock,1,5
A Arcu Sed Consulting,Cade,10,2
A LLC,Alden,5,6
A Purus LLP,Cade,2,6
Ac Libero LLP,Britanni,7,4
Ac Libero LLP,Aiko,9,5
A Arcu Sed Consulting,Bruce,7,1
A LLC,Brody,9,6
A Neque Nullam Inc.,Bruce,6,7
A Scelerisque Sed Ltd,Aiko,4,4
A Scelerisque Sed Ltd,Cally,1,8
A Neque Nullam Inc.,Alea,9,5
A Arcu Sed Consulting,Calvin,3,9
A Odio Semper Corporation,Byron,9,7
A Arcu Sed Consulting,Brielle,2,9
A Scelerisque Sed Ltd,Abbot,6,7
A LLC,Burton,9,6
A LLC,Bruce,2,4
A Scelerisque Sed Ltd,Caesar,0,5
Ac Libero LLP,Callie,2,3
A Odio Semper Corporation,Cairo,10,2
A Felis Associates,Briar,4,10
A Scelerisque Sed Ltd,Callie,1,10
A Purus LLP,Abraham,6,3
A Odio Semper Corporation,Cadman,1,10
A Malesuada Incorporated,Abraham,0,1
A Felis Associates,Addison,2,2
A Purus LLP,Adrian,4,12
A LLC,Adara,0,1
A Malesuada Incorporated,Acton,1,1
A Arcu Sed Consulting,Adrian,5,7
A Company,Calvin,8,4
A Scelerisque Sed Ltd,Briar,10,5
A LLC,Ahmed,8,3
A Odio Semper Corporation,Britanney,1,8
A Company,Britanney,8,2
A Felis Associates,Byron,4,5
Ac Libero LLP,Abel,8,1
Ac Libero LLP,Brooke,7,1
A Odio Semper Corporation,Adara,9,1
A Felis Associates,Caldwell,8,4
A Felis Associates,Cailin,7,12
A Felis Associates,Brody,5,4
A Odio Semper Corporation,Cade,5,12
A Arcu Sed Consulting,Cain,5,10
A Felis Associates,Brock,9,9
Ac Libero LLP,Byron,5,9